id,name,country,region_fullname,winary_fullname,url,bottle_url
1202159,La Chispa Negra,Spain,Toro,Dominio del Bendito,https://www.vivino.com/US-CA/en/la-chispa-negra/w/1202159,https://images.vivino.com/thumbs/3KlNI8A1RkqbFf7rRD-I5w_pb_x600.png
1948650,Clos Adrien,Spain,Empordà,Terra Remota,https://www.vivino.com/US-CA/en/clos-adrien/w/1948650,https://images.vivino.com/thumbs/NyffrhlFSs-MybbrbJcvmA_pb_x600.png
5639502,La Bota de Oloroso 74 Montilla,Spain,Manzanilla,Equipo Navazos,https://www.vivino.com/US-CA/en/la-bota-de-oloroso-74-montilla-manzanilla/w/5639502,https://images.vivino.com/thumbs/scoawj4HTcWnoGF4aEO8ng_pb_x600.png
1098981,Pomerol,France,Pomerol,Château La Fleur-Pétrus,https://www.vivino.com/US-CA/en/pomerol/w/1098981,https://images.vivino.com/thumbs/Me-e71USQSKQ9cmbuoYQaw_pb_x600.png
2886721,Lieux-dits Mareuil Sur Ay Sous le Mont Extra Brut Champagne Premier Cru,France,Champagne Premier Cru,Jacques Selosse,https://www.vivino.com/US-CA/en/lieux-dits-mareuil-sur-ay-sous-le-mont-extra-brut-champagne-premier-cru/w/2886721,https://images.vivino.com/thumbs/bhELJiYKTGG2-ze3D-yGsg_pb_x600.png
13670,Amarone della Valpolicella,Italy,Amarone della Valpolicella,Monte Zovo,https://www.vivino.com/US-CA/en/amarone-della-valpolicella/w/13670,https://images.vivino.com/thumbs/YZzl01TKS8KfWRTv7O196g_pb_x600.png
84066,Valpolicella Classico Superiore,Italy,Valpolicella Classico,Quintarelli Giuseppe,https://www.vivino.com/US-CA/en/valpolicella-classico-superiore/w/84066,https://images.vivino.com/thumbs/bDx4DAfCSy-Z4AmHLl2RCA_pb_x600.png
1257879,Ronco delle Mele Sauvignon,Italy,Collio,Venica & Venica,https://www.vivino.com/US-CA/en/ronco-delle-mele-sauvignon/w/1257879,https://images.vivino.com/thumbs/KBqnpwNeTCKmuozp1PGg5Q_pb_x600.png
2826870,Canace Nero di Troia,Italy,Puglia,Cantina Diomede,https://www.vivino.com/US-CA/en/canace-nero-di-troia/w/2826870,https://images.vivino.com/thumbs/6WLVYJQ6SvafowhbhB3rrg_pb_x600.png
15402,S.to Ippolito,Italy,Toscana,Cantine Leonardo da Vinci,https://www.vivino.com/US-CA/en/s-to-ippolito/w/15402,https://images.vivino.com/thumbs/djemBdGPRTC5EVku-ul9kA_pb_x600.png
